Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
1573b1c9-4636-49ec-aa87-ca3124301ad8,2018-02-13 19:44:34,Running,,2.99,21:34,7:13,8.32,231.0,58,,"","",2018-02-13-194434.gpx
1fe0499a-4b96-4ab5-8267-d9a6b4ba6247,2018-02-11 14:27:37,Running,,2.11,13:27,6:22,9.43,163.0,22,,"","",2018-02-11-142737.gpx
dab7074d-47fa-4864-a998-9c51eecf86bb,2018-01-29 18:34:21,Cross-Country Skiing,,6.25,45:50,7:20,8.19,502.0,152,,"","",2018-01-29-183421.gpx
c5cea2fa-484a-4f2c-8eb0-04b2c40be30c,2018-01-20 18:27:06,Cross-Country Skiing,,9.52,1:11:11,7:29,8.02,765.0,222,,"","",2018-01-20-182706.gpx
1d552ab3-51cc-44d2-86f6-ffa87af88e26,2017-10-12 17:30:19,Running,,2.73,16:23,6:00,10.00,214.0,34,,"","",2017-10-12-173019.gpx
94bf649a-dba7-4abc-8d00-b76e90531749,2017-10-08 15:22:16,Running,,6.51,38:59,6:00,10.01,514.0,91,,"","",2017-10-08-152216.gpx
aab62973-70b6-4029-941f-c7450081db77,2017-10-05 17:37:43,Running,,3.39,19:50,5:51,10.26,272.0,59,,"","",2017-10-05-173743.gpx
f2107e6d-eacb-44ca-88f6-3c62cb13aacc,2017-10-01 11:30:50,Running,,3.37,19:27,5:47,10.39,269.0,55,,"","",2017-10-01-113050.gpx
cb571b5e-8910-47f8-97a3-96bb3a2a36bb,2017-09-27 17:55:25,Running,,2.45,15:38,6:23,9.41,191.0,31,,"","",2017-09-27-175525.gpx
73055626-e339-4703-b9a7-553d4f633f3e,2017-09-16 16:15:49,Running,,10.16,51:04,5:02,11.93,803.0,143,,"","",2017-09-16-161549.gpx
8bbe5e0b-921c-4e9f-8e08-53b8dba2dbab,2017-09-13 18:14:46,Running,,3.61,20:43,5:44,10.45,291.0,68,,"","",2017-09-13-181446.gpx
063d2761-9e02-434c-a76f-395ec8139a2c,2017-09-10 14:56:40,Running,,2.16,13:58,6:27,9.30,186.0,85,,"","",2017-09-10-145640.gpx
01c7000b-77e4-4e84-a56d-1e573d51e5eb,2017-09-09 17:59:42,Running,,4.01,21:14,5:18,11.32,320.0,63,,"","",2017-09-09-175942.gpx
116a0963-a715-4c1c-b357-2440fb36475b,2017-09-07 18:17:52,Running,,3.71,19:51,5:21,11.21,289.0,41,,"","",2017-09-07-181752.gpx
00c339aa-8269-4148-9737-f01ea7ff0af3,2017-09-05 17:59:11,Running,,6.24,35:44,5:43,10.49,502.0,110,,"","",2017-09-05-175911.gpx
fa5804bf-0e7c-4639-83e2-baf71a5511d1,2017-09-01 18:37:28,Running,,4.29,22:01,5:08,11.69,348.0,87,,"","",2017-09-01-183728.gpx
482a6b1a-1dad-4231-9e79-2a497c7d4ebc,2017-08-30 17:31:23,Running,,5.22,30:04,5:46,10.41,411.0,63,,"","",2017-08-30-173123.gpx
30a3da94-ce18-4654-ac6e-0a76999702be,2017-08-28 17:26:58,Running,,3.51,20:07,5:44,10.46,269.0,30,,"","",2017-08-28-172658.gpx
62979e24-75e9-4823-8462-9729048b46b7,2017-08-25 16:26:07,Running,,10.00,54:05,5:24,11.10,790.0,134,,"","",2017-08-25-162607.gpx
e63109d8-b8a2-48a9-afd6-35f8668cdbbc,2017-08-23 17:53:40,Running,,5.07,30:07,5:57,10.10,412.0,96,,"","",2017-08-23-175340.gpx
3a95434e-d46b-471f-93d7-e218750a36e4,2017-08-21 18:39:22,Running,,4.06,23:27,5:46,10.39,322.0,58,,"","",2017-08-21-183922.gpx
c92ad68c-3206-467d-9e13-53dfc41114f7,2017-08-19 14:35:06,Running,,8.50,50:16,5:55,10.14,659.0,105,,"","",2017-08-19-143506.gpx
0c86d24b-1c90-4675-a3ef-cdf306bd68a0,2017-08-16 17:08:29,Running,,3.97,23:08,5:50,10.30,316.0,57,,"","",2017-08-16-170829.gpx
330d6057-1aec-4b01-a3db-1f8d80113431,2017-08-14 18:05:07,Running,,4.02,22:35,5:37,10.68,319.0,56,,"","",2017-08-14-180507.gpx
0a770593-4eec-44e5-b5ae-46e0ffb79756,2017-08-13 12:35:37,Running,,6.57,44:21,6:45,8.89,503.0,110,,"","",2017-08-13-123537.gpx
09a303d0-51ab-49f5-a905-06aab4a7bf16,2017-08-11 17:53:00,Running,,4.57,30:10,6:36,9.09,361.0,97,,"","",2017-08-11-175300.gpx
75999f65-5607-4d89-88b9-2945ead0dc5b,2017-08-09 17:08:24,Running,,3.98,23:22,5:53,10.21,328.0,106,,"","",2017-08-09-170824.gpx
e5cb2d6f-d1f7-46e8-aeac-bb144834101c,2017-08-07 17:54:10,Running,,6.60,37:53,5:45,10.45,521.0,97,,"","",2017-08-07-175410.gpx
7d996f04-8a6c-46d6-aef7-7c03cbc3692e,2017-08-04 18:33:53,Running,,4.95,25:55,5:14,11.45,403.0,110,,"","",2017-08-04-183353.gpx
dc3851d1-d05b-4a5c-b703-df7595bc0def,2017-08-02 17:53:43,Running,,4.60,25:08,5:28,10.99,353.0,37,,"","",2017-08-02-175343.gpx
0a892c78-d46b-40c6-9ba7-cc79c6485caf,2017-07-31 18:28:00,Running,,4.15,22:27,5:24,11.09,325.0,50,,"","",2017-07-31-182800.gpx
d55c4c42-8308-4936-8758-5021ce9c2e29,2017-07-26 16:00:30,Running,,4.77,24:24,5:07,11.74,363.0,22,,"","",2017-07-26-160030.gpx
dc6a124f-4dbf-44d0-9683-d82e8d963c09,2017-07-24 16:48:37,Running,,4.85,27:43,5:43,10.50,375.0,38,,"","",2017-07-24-164837.gpx
8a841c50-04b6-401c-9cd9-78787d8df67a,2017-07-19 20:18:59,Running,,6.49,35:32,5:29,10.96,503.0,64,,"","",2017-07-19-201859.gpx
3755b7e2-ecd3-4d5e-8aa2-d23b60ed40c2,2017-07-17 16:33:02,Running,,6.46,36:59,5:43,10.48,495.0,64,,"","",2017-07-17-163302.gpx
a0b005fe-39a2-48d8-a703-2a3aa612a6d8,2017-07-14 18:25:10,Running,,4.92,25:51,5:15,11.42,402.0,111,,"","",2017-07-14-182510.gpx
5109711a-4c3c-4120-947d-c3a6f373567f,2017-07-12 18:40:01,Running,,5.36,32:42,6:06,9.83,421.0,63,,"","",2017-07-12-184001.gpx
70621d6f-813d-40ac-9c27-9d7dc2fa0da8,2017-07-10 18:13:27,Running,,7.10,43:04,6:04,9.90,552.0,97,,"","",2017-07-10-181327.gpx
67d6baa7-08f7-47c4-8827-29a610c7962d,2017-07-07 18:22:38,Running,,4.93,25:20,5:08,11.69,403.0,109,,"","",2017-07-07-182238.gpx
c2c0461c-e963-4ce9-a988-96e6d5327831,2017-07-05 17:43:38,Running,,5.01,30:32,6:06,9.84,386.0,58,,"","",2017-07-05-174338.gpx
bb58615a-83f0-44ab-a34d-9cecc85631eb,2017-07-03 18:31:10,Running,,5.05,29:56,5:56,10.12,398.0,63,,"","",2017-07-03-183110.gpx
45ada4f3-2c1f-486d-a462-4db10955cfdc,2017-07-02 17:23:52,Running,,4.89,26:11,5:21,11.20,398.0,110,,"","",2017-07-02-172352.gpx
6dd765db-92d2-46a1-a322-2ee161764063,2017-06-28 18:44:06,Running,,8.06,50:13,6:14,9.63,628.0,103,,"","",2017-06-28-184406.gpx
61b0b1a7-1193-45ff-a24b-cd6f138ef650,2017-06-26 18:45:17,Running,,3.98,24:21,6:07,9.82,317.0,58,,"","",2017-06-26-184517.gpx
d842ad2f-8409-4425-843f-26c89722154c,2017-06-24 16:17:33,Running,,4.91,26:35,5:25,11.08,402.0,112,,"","",2017-06-24-161733.gpx
df57567e-d20a-476f-ba41-ecdb7fb253af,2017-06-22 17:47:29,Running,,4.09,24:53,6:05,9.86,322.0,58,,"","",2017-06-22-174729.gpx
899669cb-3613-49a2-b08e-5413fcb445db,2017-06-19 17:41:55,Running,,3.30,19:17,5:51,10.25,247.0,11,,"","",2017-06-19-174155.gpx
79deebf2-8929-4370-9e80-6df49c455ab3,2017-06-18 15:17:15,Running,,10.03,1:00:27,6:02,9.95,792.0,140,,"","",2017-06-18-151715.gpx
82ea5af7-cc03-4505-b598-66b4a3f4b23b,2017-06-12 18:32:56,Running,,6.21,39:09,6:18,9.52,494.0,92,,"","",2017-06-12-183256.gpx
a7ba7f06-1a6d-4293-9203-aaf0cef4f2b0,2017-06-10 17:59:05,Running,,4.94,28:32,5:47,10.38,404.0,111,,"","",2017-06-10-175905.gpx
596e75f2-67ec-4386-ac5e-47041890fd97,2017-06-08 18:01:45,Running,,10.39,1:05:55,6:21,9.46,820.0,155,,"","",2017-06-08-180145.gpx
b33f98f7-7010-406a-9e39-8a24a9571e4f,2017-06-06 18:18:58,Running,,3.96,24:12,6:07,9.82,319.0,77,,"","",2017-06-06-181858.gpx
f6381b85-87d1-4afb-8293-234a579ae9b3,2017-06-02 17:30:41,Running,,7.62,48:06,6:19,9.51,599.0,104,,"","",2017-06-02-173041.gpx
630740f5-ed02-401a-b5f0-7edc32b5a998,2017-06-01 17:50:54,Running,,5.33,33:36,6:18,9.51,425.0,92,,"","",2017-06-01-175054.gpx
